#ZnFeO small;
#conc;#temp
1;25.9
1;26.4
1;26.1
1;26
1;26.3
1;26.3
2;27.3
2;27.7
2;27.7
2;27.6
2;27.9
2;26.1
3;29.1
3;28.7
3;29.3
3;29.5
3;29.5
3;29.4
4;38.1
4;38.6
4;38.1
4;38
4;38.7
4;38.6
5;43.3
5;43.9
5;43.3
5;43.5
5;43.7
5;43.3
7;63.7
7;62.4
7;63.5
7;62.2
7;63.9
7;64.2
