Conc,Temperature
5,31.9
5,30.1
5,31.7
5,31.9
5,31.8
5,30.3
10,33
10,31.4
10,32.3
10,31.9
10,32.4
10,32.9
15,38.8
15,38.2
15,40
15,38.3
15,38.8
15,38.4
20,41.4
20,40.7
20,39.9
20,40.8
20,41
20,41.7
40,52.1
40,52.8
40,52.8
40,51.7
40,52.3
40,53
50,32.4
50,33.5
50,34.2
50,34.1
50,32.8
50,32.8
80,43.8
80,43.1
80,45.4
80,43.7
80,45.8
80,46.2
