Conc,Temperature
5,29.6
5,29.8
5,29.8
5,29.2
5,30.4
5,29.7
10,38.1
10,37.2
10,38
10,35.8
10,36.1
10,38
15,31.6
15,31.5
15,32.2
15,31.8
15,32.2
15,31.5
