Conc,Temperature
5,26
5,25.8
5,26
5,25.8
5,25.7
5,25.4
10,28.3
10,29.6
10,29.6
10,29.2
10,28.5
10,29.3
15,31.6
15,32.7
15,33
15,31.7
15,32.2
15,31.9
20,36.7
20,34.9
20,34.7
20,35.5
20,38.8
20,36.1
40,43.5
40,42.6
40,39.9
40,43.5
40,42.9
40,43.5
50,39.2
50,37.1
50,38.2
50,37.7
50,38
50,38.2
80,53.7
80,49.8
80,48.3
80,52.1
80,49.7
80,48.9
